"code","description","subcategory","commoncat","icd10subcategory","MatchStage","manual_icd10"
"619","fistulae involving female genital tract","other disorders of female genital tract","diseases of the genitourinary system","noninflammatory disorders of female genital tract","fuzzy by subcategory",NA
"620","noninflammatory disorders of ovary, fallopian tube and broad ligament","other disorders of female genital tract","diseases of the genitourinary system","noninflammatory disorders of female genital tract","fuzzy by subcategory",NA
"621","disorders of uterus, not elsewhere classified","other disorders of female genital tract","diseases of the genitourinary system","noninflammatory disorders of female genital tract","fuzzy by subcategory",NA
"622","noninflammatory disorders of cervix","other disorders of female genital tract","diseases of the genitourinary system","noninflammatory disorders of female genital tract","fuzzy by subcategory",NA
"623","noninflammatory disorders of vagina","other disorders of female genital tract","diseases of the genitourinary system","noninflammatory disorders of female genital tract","fuzzy by subcategory",NA
"624","noninflammatory disorders of vulva and perineum","other disorders of female genital tract","diseases of the genitourinary system","noninflammatory disorders of female genital tract","fuzzy by subcategory",NA
"625","pain and other symptoms associated with female genital organs","other disorders of female genital tract","diseases of the genitourinary system","noninflammatory disorders of female genital tract","fuzzy by subcategory",NA
"626","disorders of menstruation and other abnormal bleeding from female genital tract","other disorders of female genital tract","diseases of the genitourinary system","noninflammatory disorders of female genital tract","fuzzy by subcategory",NA
"627","menopausal and postmenopausal disorders","other disorders of female genital tract","diseases of the genitourinary system","noninflammatory disorders of female genital tract","fuzzy by subcategory",NA
"628","infertility, female","other disorders of female genital tract","diseases of the genitourinary system","noninflammatory disorders of female genital tract","fuzzy by subcategory",NA
"629","other disorders of female genital organs","other disorders of female genital tract","diseases of the genitourinary system","noninflammatory disorders of female genital tract","fuzzy by subcategory",NA
"630","hydatidiform mole","pregnancy with abortive outcome","pregnancy, childbirth and the puerperium","pregnancy with abortive outcome","fuzzy by subcategory",NA
"631","other abnormal product of conception","pregnancy with abortive outcome","pregnancy, childbirth and the puerperium","pregnancy with abortive outcome","fuzzy by subcategory",NA
"632","missed abortion","pregnancy with abortive outcome","pregnancy, childbirth and the puerperium","pregnancy with abortive outcome","fuzzy by subcategory",NA
"633","ectopic pregnancy","pregnancy with abortive outcome","pregnancy, childbirth and the puerperium","pregnancy with abortive outcome","fuzzy by subcategory",NA
"634","spontaneous abortion","pregnancy with abortive outcome","pregnancy, childbirth and the puerperium","pregnancy with abortive outcome","fuzzy by subcategory",NA
"635","legally induced abortion","pregnancy with abortive outcome","pregnancy, childbirth and the puerperium","pregnancy with abortive outcome","fuzzy by subcategory",NA
"636","illegally induced abortion","pregnancy with abortive outcome","pregnancy, childbirth and the puerperium","pregnancy with abortive outcome","fuzzy by subcategory",NA
"637","unspecified abortion","pregnancy with abortive outcome","pregnancy, childbirth and the puerperium","pregnancy with abortive outcome","fuzzy by subcategory",NA
"638","failed attempted abortion","pregnancy with abortive outcome","pregnancy, childbirth and the puerperium","pregnancy with abortive outcome","fuzzy by subcategory",NA
"639","complications following abortion and ectopic and molar pregnancies","pregnancy with abortive outcome","pregnancy, childbirth and the puerperium","pregnancy with abortive outcome","fuzzy by subcategory",NA
"640","haemorrhage in early pregnancy","complications mainly related to pregnancy","pregnancy, childbirth and the puerperium","other maternal disorders predominantly related to pregnancy","fuzzy by code",NA
"641","antepartum haemorrhage, abruptio placentae, and placenta praevia","complications mainly related to pregnancy","pregnancy, childbirth and the puerperium","maternal care related to the fetus and amniotic cavity and possible delivery problems","fuzzy by code",NA
"642","hypertension complicating pregnancy, childbirth and the puerperium","complications mainly related to pregnancy","pregnancy, childbirth and the puerperium","edema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium","manual by code","o13"
"643","excessive vomiting in pregnancy","complications mainly related to pregnancy","pregnancy, childbirth and the puerperium","other maternal disorders predominantly related to pregnancy","fuzzy by code",NA
"644","early or threatened labour","complications mainly related to pregnancy","pregnancy, childbirth and the puerperium","complications of labor and delivery","manual by code","o60"
"645","prolonged pregnancy","complications mainly related to pregnancy","pregnancy, childbirth and the puerperium","maternal care related to the fetus and amniotic cavity and possible delivery problems","fuzzy by code",NA
"646","other complications of pregnancy, not elsewhere classified","complications mainly related to pregnancy","pregnancy, childbirth and the puerperium","other maternal disorders predominantly related to pregnancy","manual by code","o21"
"647","infective and parasitic conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium","complications mainly related to pregnancy","pregnancy, childbirth and the puerperium","other obstetric conditions, nec","fuzzy by code",NA
"648","other current conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium","complications mainly related to pregnancy","pregnancy, childbirth and the puerperium","other maternal disorders predominantly related to pregnancy","manual by code","o21"
"648","other current conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium","complications mainly related to pregnancy","pregnancy, childbirth and the puerperium","other maternal disorders predominantly related to pregnancy","manual by code","o21"
"650","delivery in a completely normal case","normal delivery and other indications for care in pregnancy labour and delivery","pregnancy, childbirth and the puerperium","encounter for delivery","manual by code","o80"
"651","multiple gestation","normal delivery and other indications for care in pregnancy labour and delivery","pregnancy, childbirth and the puerperium","maternal care related to the fetus and amniotic cavity and possible delivery problems","fuzzy by code",NA
"652","malposition and malpresentation of fetus","normal delivery and other indications for care in pregnancy labour and delivery","pregnancy, childbirth and the puerperium","complications of labor and delivery","fuzzy by code",NA
"653","disproportion","normal delivery and other indications for care in pregnancy labour and delivery","pregnancy, childbirth and the puerperium","maternal care related to the fetus and amniotic cavity and possible delivery problems","manual by code","o33"
"654","abnormality of organs and soft tissues of pelvis","normal delivery and other indications for care in pregnancy labour and delivery","pregnancy, childbirth and the puerperium","maternal care related to the fetus and amniotic cavity and possible delivery problems","manual by code","o34"
"655","known or suspected fetal abnormality affecting management of mother","normal delivery and other indications for care in pregnancy labour and delivery","pregnancy, childbirth and the puerperium","maternal care related to the fetus and amniotic cavity and possible delivery problems","fuzzy by code",NA
"656","other fetal and placental problems affecting management of mother","normal delivery and other indications for care in pregnancy labour and delivery","pregnancy, childbirth and the puerperium","maternal care related to the fetus and amniotic cavity and possible delivery problems","fuzzy by code",NA
"657","polyhydramnios","normal delivery and other indications for care in pregnancy labour and delivery","pregnancy, childbirth and the puerperium","maternal care related to the fetus and amniotic cavity and possible delivery problems","fuzzy by code",NA
"658","other problems associated with amniotic cavity and membranes","normal delivery and other indications for care in pregnancy labour and delivery","pregnancy, childbirth and the puerperium","maternal care related to the fetus and amniotic cavity and possible delivery problems","manual by code","o41"
"659","other indications for care or intervention related to labour and delivery and not elsewhere classified","normal delivery and other indications for care in pregnancy labour and delivery","pregnancy, childbirth and the puerperium","maternal care related to the fetus and amniotic cavity and possible delivery problems","manual by code","o36"
"65b","animal bite","additional diagnostic codes","nan","injury of unspecified body region","manual by code","t14"
"660","obstructed labour","complications occurring mainly in the course of labour and delivery","pregnancy, childbirth and the puerperium","complications of labor and delivery","fuzzy by subcategory",NA
"661","abnormality of forces of labour","complications occurring mainly in the course of labour and delivery","pregnancy, childbirth and the puerperium","complications of labor and delivery","fuzzy by subcategory",NA
"662","long labour","complications occurring mainly in the course of labour and delivery","pregnancy, childbirth and the puerperium","complications of labor and delivery","fuzzy by subcategory",NA
"663","umbilical cord complications","complications occurring mainly in the course of labour and delivery","pregnancy, childbirth and the puerperium","complications of labor and delivery","fuzzy by subcategory",NA
"664","trauma to perineum and vulva during delivery","complications occurring mainly in the course of labour and delivery","pregnancy, childbirth and the puerperium","complications of labor and delivery","fuzzy by subcategory",NA
"665","other obstetrical trauma","complications occurring mainly in the course of labour and delivery","pregnancy, childbirth and the puerperium","complications of labor and delivery","fuzzy by subcategory",NA
"666","postpartum haemorrhage","complications occurring mainly in the course of labour and delivery","pregnancy, childbirth and the puerperium","complications of labor and delivery","fuzzy by subcategory",NA
"667","retained placenta or membranes, without haemorrhage","complications occurring mainly in the course of labour and delivery","pregnancy, childbirth and the puerperium","complications of labor and delivery","fuzzy by subcategory",NA
"668","complications of the administration of anaesthetic or other sedation in labour and delivery","complications occurring mainly in the course of labour and delivery","pregnancy, childbirth and the puerperium","complications of labor and delivery","fuzzy by subcategory",NA
"669","other complications of labour and delivery, not elsewhere classified","complications occurring mainly in the course of labour and delivery","pregnancy, childbirth and the puerperium","complications of labor and delivery","fuzzy by subcategory",NA
"66b","insect bite","additional diagnostic codes","nan","injury of unspecified body region","manual by code","t14"
"670","major puerperal infection","complications of the puerperium","pregnancy, childbirth and the puerperium","complications predominantly related to the puerperium","fuzzy by subcategory",NA
"671","venous complications in pregnancy and the puerperium","complications of the puerperium","pregnancy, childbirth and the puerperium","complications predominantly related to the puerperium","fuzzy by subcategory",NA
"672","pyrexia of unknown origin during the puerperium","complications of the puerperium","pregnancy, childbirth and the puerperium","complications predominantly related to the puerperium","fuzzy by subcategory",NA
"673","obstetrical pulmonary embolism","complications of the puerperium","pregnancy, childbirth and the puerperium","complications predominantly related to the puerperium","fuzzy by subcategory",NA
"674","other and unspecified complications of the puerperium, not elsewhere classified","complications of the puerperium","pregnancy, childbirth and the puerperium","complications predominantly related to the puerperium","fuzzy by subcategory",NA
"675","infections of the breast and nipple associated with childbirth","complications of the puerperium","pregnancy, childbirth and the puerperium","complications predominantly related to the puerperium","fuzzy by subcategory",NA
"676","other disorders of the breast associated with childbirth, and disorders of lactation","complications of the puerperium","pregnancy, childbirth and the puerperium","complications predominantly related to the puerperium","fuzzy by subcategory",NA
"680","carbuncle and furuncle","infections of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","infections of the skin and subcutaneous tissue","fuzzy by subcategory",NA
"681","cellulitis and abscess of finger and toe","infections of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","infections of the skin and subcutaneous tissue","fuzzy by subcategory",NA
"682","other cellulitis and abscess","infections of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","infections of the skin and subcutaneous tissue","fuzzy by subcategory",NA
"683","acute lymphadenitis","infections of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","infections of the skin and subcutaneous tissue","fuzzy by subcategory",NA
"684","impetigo","infections of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","infections of the skin and subcutaneous tissue","fuzzy by subcategory",NA
"685","pilonidal cyst","infections of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","infections of the skin and subcutaneous tissue","fuzzy by subcategory",NA
"686","other local infections of skin and subcutaneous tissue","infections of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","infections of the skin and subcutaneous tissue","fuzzy by subcategory",NA
"690","erythematosquamous dermatosis","other inflammatory conditions of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","papulosquamous disorders","fuzzy by code",NA
"691","atopic dermatitis and related conditions","other inflammatory conditions of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","dermatitis and eczema","fuzzy by code",NA
"692","contact dermatitis and other eczema","other inflammatory conditions of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","dermatitis and eczema","fuzzy by code",NA
"693","dermatitis due to substances taken internally","other inflammatory conditions of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","dermatitis and eczema","fuzzy by code",NA
"694","bullous dermatoses","other inflammatory conditions of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","bullous disorders","manual by code","l13"
"695","erythematous conditions","other inflammatory conditions of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","urticaria and erythema","fuzzy by code",NA
"696","psoriasis and similar disorders","other inflammatory conditions of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","papulosquamous disorders","fuzzy by code",NA
"697","lichen","other inflammatory conditions of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","dermatitis and eczema","fuzzy by code",NA
"698","pruritis and related conditions","other inflammatory conditions of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","no conversion",NA,NA
"700","corns and callosities","other diseases of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","other disorders of the skin and subcutaneous tissue","fuzzy by code",NA
"701","other hypertrophic and atrophic conditions of skin","other diseases of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","other disorders of the skin and subcutaneous tissue","manual by code","l91"
"702","other dermatoses","other diseases of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","other disorders of the skin and subcutaneous tissue","manual by code","l98"
"703","diseases of nail","other diseases of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","disorders of skin appendages","fuzzy by code",NA
"704","diseases of hair and hair follicles","other diseases of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","disorders of skin appendages","manual by code","l73"
"705","disorders of sweat glands","other diseases of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","disorders of skin appendages","manual by code","l74"
"706","diseases of sebaceous glands","other diseases of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","disorders of skin appendages","manual by code","l70"
"707","chronic ulcer of skin","other diseases of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","other disorders of the skin and subcutaneous tissue","manual by code","l98"
"708","urticaria","other diseases of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","urticaria and erythema","fuzzy by code",NA
"709","other disorders of skin and subcutaneous tissue","other diseases of skin and subcutaneous tissue","diseases of the skin and subcutaneous tissue","other disorders of the skin and subcutaneous tissue","manual by code","l98"
"710","diffuse diseases of connective tissue","arthropathies and related disorders","diseases of the musculoskeletal system and connective tissue","systemic connective tissue disorders","fuzzy by code",NA
"711","arthropathy associated with infections","arthropathies and related disorders","diseases of the musculoskeletal system and connective tissue","no conversion",NA,NA
"712","crystal arthropathies","arthropathies and related disorders","diseases of the musculoskeletal system and connective tissue","inflammatory polyarthropathies","fuzzy by code",NA
"713","arthropathy associated with other disorders classified elsewhere","arthropathies and related disorders","diseases of the musculoskeletal system and connective tissue","no conversion",NA,NA
"714","rheumatoid arthritis and other inflammatory polyarthropathies","arthropathies and related disorders","diseases of the musculoskeletal system and connective tissue","inflammatory polyarthropathies","fuzzy by code",NA
"715","osteoarthrosis and allied disorders","arthropathies and related disorders","diseases of the musculoskeletal system and connective tissue","osteoarthritis","manual by code","m19"
"716","other and unspecified arthropathies","arthropathies and related disorders","diseases of the musculoskeletal system and connective tissue","inflammatory polyarthropathies","fuzzy by code",NA
"717","internal derangement of knee","arthropathies and related disorders","diseases of the musculoskeletal system and connective tissue","other joint disorders","fuzzy by code",NA
"718","other derangement of joint","arthropathies and related disorders","diseases of the musculoskeletal system and connective tissue","other joint disorders","fuzzy by code",NA
"719","other and unspecified disorder of joint","arthropathies and related disorders","diseases of the musculoskeletal system and connective tissue","other joint disorders","fuzzy by code",NA
"720","ankylosing spondylitis and other inflammatory spondylopathies","dorsopathies","diseases of the musculoskeletal system and connective tissue","deforming dorsopathies","fuzzy by subcategory",NA
"721","spondylosis and allied disorders","dorsopathies","diseases of the musculoskeletal system and connective tissue","deforming dorsopathies","fuzzy by subcategory",NA
"722","intervertebral disc disorders","dorsopathies","diseases of the musculoskeletal system and connective tissue","deforming dorsopathies","fuzzy by subcategory",NA
"723","other disorders of cervical region","dorsopathies","diseases of the musculoskeletal system and connective tissue","deforming dorsopathies","fuzzy by subcategory",NA
"724","other and unspecified disorders of back","dorsopathies","diseases of the musculoskeletal system and connective tissue","deforming dorsopathies","fuzzy by subcategory",NA
"725","polymyalgia rheumatica","rheumatism, excluding the back","diseases of the musculoskeletal system and connective tissue","systemic connective tissue disorders","manual by code","m35"
"726","peripheral enthesopathies and allied syndromes","rheumatism, excluding the back","diseases of the musculoskeletal system and connective tissue","other soft tissue disorders","manual by code","m77"
"727","other disorders of synovium, tendon and bursa","rheumatism, excluding the back","diseases of the musculoskeletal system and connective tissue","disorders of synovium and tendon","fuzzy by code",NA
"728","disorders of muscle, ligament and fascia","rheumatism, excluding the back","diseases of the musculoskeletal system and connective tissue","disorders of muscles","fuzzy by code",NA
"729","other disorders of soft tissues","rheumatism, excluding the back","diseases of the musculoskeletal system and connective tissue","other soft tissue disorders","manual by code","m79"
"730","osteomyelitis, periostitis and other infections involving bone","osteopathies, chondropathies and ac quired musculoskeletal deformities","diseases of the musculoskeletal system and connective tissue","other osteopathies","fuzzy by code",NA
"731","osteitis deformans and osteopathies associated with other disorders classified elsewhere","osteopathies, chondropathies and ac quired musculoskeletal deformities","diseases of the musculoskeletal system and connective tissue","other osteopathies","manual by code","m90"
"731","osteitis deformans and osteopathies associated with other disorders classified elsewhere","osteopathies, chondropathies and ac quired musculoskeletal deformities","diseases of the musculoskeletal system and connective tissue","other osteopathies","manual by code","m88"
"732","osteochondropathies","osteopathies, chondropathies and ac quired musculoskeletal deformities","diseases of the musculoskeletal system and connective tissue","chondropathies","fuzzy by code",NA
"733","other disorders of bone and cartilage","osteopathies, chondropathies and ac quired musculoskeletal deformities","diseases of the musculoskeletal system and connective tissue","other osteopathies","fuzzy by code",NA
"734","flat foot","osteopathies, chondropathies and ac quired musculoskeletal deformities","diseases of the musculoskeletal system and connective tissue","other joint disorders","manual by code","m21"
"735","acquired deformities of toe","osteopathies, chondropathies and ac quired musculoskeletal deformities","diseases of the musculoskeletal system and connective tissue","other joint disorders","fuzzy by code",NA
"736","other acquired deformities of limbs","osteopathies, chondropathies and ac quired musculoskeletal deformities","diseases of the musculoskeletal system and connective tissue","other joint disorders","fuzzy by code",NA
"737","curvature of spine","osteopathies, chondropathies and ac quired musculoskeletal deformities","diseases of the musculoskeletal system and connective tissue","deforming dorsopathies","manual by code","m43"
"738","other acquired deformity","osteopathies, chondropathies and ac quired musculoskeletal deformities","diseases of the musculoskeletal system and connective tissue","other joint disorders","fuzzy by code",NA
"739","nonallopathic lesions, not elsewhere classified","osteopathies, chondropathies and ac quired musculoskeletal deformities","diseases of the musculoskeletal system and connective tissue","spondylopathies","fuzzy by code",NA
"740","anencephalus and similar anomalies","congenital anomalies","congenital malformations, deformations and chromosomal abnormalities","congenital malformations of the nervous system","fuzzy by code",NA
"741","spina bifida","congenital anomalies","congenital malformations, deformations and chromosomal abnormalities","congenital malformations of the nervous system","fuzzy by code",NA
"742","other congenital anomalies of nervous system","congenital anomalies","congenital malformations, deformations and chromosomal abnormalities","congenital malformations of the nervous system","fuzzy by code",NA
"743","congenital anomalies of eye","congenital anomalies","congenital malformations, deformations and chromosomal abnormalities","congenital malformations of eye, ear, face and neck","fuzzy by code",NA
"744","congenital anomalies of ear, face and neck","congenital anomalies","congenital malformations, deformations and chromosomal abnormalities","congenital malformations of eye, ear, face and neck","fuzzy by code",NA
"745","bulbus cordis anomalies and anomalies of cardiac septal closure","congenital anomalies","congenital malformations, deformations and chromosomal abnormalities","congenital malformations of the circulatory system","manual by code","q21"
"746","other congenital anomalies of heart","congenital anomalies","congenital malformations, deformations and chromosomal abnormalities","congenital malformations of the circulatory system","fuzzy by code",NA
"747","other congenital anomalies of circulatory system","congenital anomalies","congenital malformations, deformations and chromosomal abnormalities","congenital malformations of the circulatory system","fuzzy by code",NA
"748","congenital anomalies of respiratory system","congenital anomalies","congenital malformations, deformations and chromosomal abnormalities","congenital malformations of the respiratory system","fuzzy by code",NA
"749","cleft palate and cleft lip","congenital anomalies","congenital malformations, deformations and chromosomal abnormalities","cleft lip and cleft palate","fuzzy by code",NA
"750","other congenital anomalies of upper alimentary tract","congenital anomalies","congenital malformations, deformations and chromosomal abnormalities","other congenital malformations of the digestive system","fuzzy by code",NA
"751","other congenital anomalies of digestive system","congenital anomalies","congenital malformations, deformations and chromosomal abnormalities","other congenital malformations of the digestive system","fuzzy by code",NA
"752","congenital anomalies of genital organs","congenital anomalies","congenital malformations, deformations and chromosomal abnormalities","congenital malformations of genital organs","fuzzy by code",NA
"753","congenital anomalies of urinary system","congenital anomalies","congenital malformations, deformations and chromosomal abnormalities","congenital malformations of the urinary system","fuzzy by code",NA
"754","certain congenital musculoskeletal deformities","congenital anomalies","congenital malformations, deformations and chromosomal abnormalities","congenital malformations and deformations of the musculoskeletal system","fuzzy by code",NA
"755","other congenital anomalies of limbs","congenital anomalies","congenital malformations, deformations and chromosomal abnormalities","congenital malformations and deformations of the musculoskeletal system","fuzzy by code",NA
"756","other congenital musculoskeletal anomalies","congenital anomalies","congenital malformations, deformations and chromosomal abnormalities","congenital malformations and deformations of the musculoskeletal system","fuzzy by code",NA
"757","congenital anomalies of the integument","congenital anomalies","congenital malformations, deformations and chromosomal abnormalities","other congenital malformations","fuzzy by code",NA
"758","chromosomal anomalies","congenital anomalies","congenital malformations, deformations and chromosomal abnormalities","chromosomal abnormalities, nec","fuzzy by code",NA
"759","other and unspecified congenital anomalies","congenital anomalies","congenital malformations, deformations and chromosomal abnormalities","other congenital malformations","manual by code","q89"
"760","fetus or newborn affected by maternal conditions which may be unrelated to present pregnancy","certain conditions originating in the perinatal period","certain conditions originating in the perinatal period","newborn affected by maternal factors and by complications of pregnancy, labor, and delivery","fuzzy by code",NA
"761","fetus or newborn affected by maternal complications of pregnancy","certain conditions originating in the perinatal period","certain conditions originating in the perinatal period","newborn affected by maternal factors and by complications of pregnancy, labor, and delivery","fuzzy by code",NA
"762","fetus or newborn affected by complications of placenta, cord and membranes","certain conditions originating in the perinatal period","certain conditions originating in the perinatal period","newborn affected by maternal factors and by complications of pregnancy, labor, and delivery","fuzzy by code",NA
"763","fetus or newborn affected by other complications of labour and delivery","certain conditions originating in the perinatal period","certain conditions originating in the perinatal period","newborn affected by maternal factors and by complications of pregnancy, labor, and delivery","fuzzy by code",NA
"764","slow fetal growth and fetal malnutrition","certain conditions originating in the perinatal period","certain conditions originating in the perinatal period","disorders of newborn related to length of gestation and fetal growth","fuzzy by code",NA
"765","disorders relating to short gestation and unspecified low birthweight","certain conditions originating in the perinatal period","certain conditions originating in the perinatal period","disorders of newborn related to length of gestation and fetal growth","manual by code","p07"
"766","disorders relating to long gestation and high birthweight","certain conditions originating in the perinatal period","certain conditions originating in the perinatal period","disorders of newborn related to length of gestation and fetal growth","fuzzy by code",NA
"767","birth trauma","certain conditions originating in the perinatal period","certain conditions originating in the perinatal period","birth trauma","manual by code","p15"
"768","intrauterine hypoxia and birth asphyxia","certain conditions originating in the perinatal period","certain conditions originating in the perinatal period","no conversion",NA,NA
"769","respiratory distress syndrome","certain conditions originating in the perinatal period","certain conditions originating in the perinatal period","respiratory and cardiovascular disorders specific to the perinatal period","manual by code","p22"
"770","other respiratory conditions of fetus and newborn","certain conditions originating in the perinatal period","certain conditions originating in the perinatal period","respiratory and cardiovascular disorders specific to the perinatal period","fuzzy by code",NA
"771","infections specific to the perinatal period","certain conditions originating in the perinatal period","certain conditions originating in the perinatal period","infections specific to the perinatal period","fuzzy by code",NA
"772","fetal and neonatal haemorrhage","certain conditions originating in the perinatal period","certain conditions originating in the perinatal period","hemorrhagic and hematological disorders of newborn","fuzzy by code",NA
"773","haemolytic disease of fetus or newborn, due to isoimmunization","certain conditions originating in the perinatal period","certain conditions originating in the perinatal period","hemorrhagic and hematological disorders of newborn","fuzzy by code",NA
"774","other perinatal jaundice","certain conditions originating in the perinatal period","certain conditions originating in the perinatal period","hemorrhagic and hematological disorders of newborn","manual by code","p59"
"775","endocrine and metabolic disturbances specific to the fetus and newborn","certain conditions originating in the perinatal period","certain conditions originating in the perinatal period","transitory endocrine and metabolic disorders specific to newborn","manual by code","p72"
"776","haematological disorders of fetus and newborn","certain conditions originating in the perinatal period","certain conditions originating in the perinatal period","hemorrhagic and hematological disorders of newborn","manual by code","p61"
"777","perinatal disorders of digestive system","certain conditions originating in the perinatal period","certain conditions originating in the perinatal period","digestive system disorders of newborn","fuzzy by code",NA
"778","conditions involving the integument and temperature regulation of fetus and newborn","certain conditions originating in the perinatal period","certain conditions originating in the perinatal period","conditions involving the integument and temperature regulation of newborn","fuzzy by code",NA
"779","other and ill-defined conditions originating in the perinatal period","certain conditions originating in the perinatal period","certain conditions originating in the perinatal period","other disorders originating in the perinatal period","fuzzy by code",NA
"780","general symptoms","symptoms","symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","symptoms and signs involving cognition, perception, emotional state and behavior","fuzzy by code",NA
"781","symptoms involving nervous and musculoskeletal systems","symptoms","symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","symptoms and signs involving the nervous and musculoskeletal systems","fuzzy by code",NA
"782","symptoms involving skin and other integumentary tissue","symptoms","symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","symptoms and signs involving the skin and subcutaneous tissue","manual by code","r23"
"783","symptoms concerning nutrition, metabolism and development","symptoms","symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","general symptoms and signs","fuzzy by code",NA
"784","symptoms involving head and neck","symptoms","symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","general symptoms and signs","manual by code","r51"
"785","symptoms involving cardiovascular system","symptoms","symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","symptoms and signs involving the circulatory and respiratory systems","fuzzy by code",NA
"786","symptoms involving respiratory system and other chest symptoms","symptoms","symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","symptoms and signs involving the circulatory and respiratory systems","fuzzy by code",NA
"787","symptoms involving digestive system","symptoms","symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","symptoms and signs involving the digestive system and abdomen","fuzzy by code",NA
"788","symptoms involving urinary system","symptoms","symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","symptoms and signs involving the genitourinary system","manual by code","r39"
"789","other symptoms involving abdomen and pelvis","symptoms","symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","symptoms and signs involving the digestive system and abdomen","fuzzy by code",NA
"790","nonspecific findings on examination of blood","non-specific abnormal findings","symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","abnormal findings on examination of blood, without diagnosis","manual by code","r79"
"791","nonspecific findings on examination of urine","non-specific abnormal findings","symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","abnormal findings on examination of urine, without diagnosis","fuzzy by code",NA
"792","nonspecific abnormal findings in other body substances","non-specific abnormal findings","symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","abnormal findings on examination of other body fluids, substances and tissues, without diagnosis","fuzzy by code",NA
"793","nonspecific abnormal findings on radiological and other examination of body structure","non-specific abnormal findings","symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","abnormal findings on diagnostic imaging and in function studies, without diagnosis","fuzzy by code",NA
"794","nonspecific abnormal results of function studies","non-specific abnormal findings","symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","abnormal findings on diagnostic imaging and in function studies, without diagnosis","fuzzy by code",NA
"795","nonspecific abnormal histological and immunological findings","non-specific abnormal findings","symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","abnormal findings on examination of blood, without diagnosis","fuzzy by code",NA
"796","other nonspecific abnormal findings","non-specific abnormal findings","symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","general symptoms and signs","manual by code","r68"
"797","senility without mention of psychosis","ill-defined and unknown causes of morbidity and mortality","symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","ill-defined and unknown cause of mortality","fuzzy by subcategory",NA
"798","sudden death, cause unknown","ill-defined and unknown causes of morbidity and mortality","symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","ill-defined and unknown cause of mortality","fuzzy by subcategory",NA
"799","other ill-defined and unknown causes of morbidity and mortality","ill-defined and unknown causes of morbidity and mortality","symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","ill-defined and unknown cause of mortality","fuzzy by subcategory",NA
"800","fracture of vault of skull","fracture of skull","injury, poisoning and certain other consequences of external causes","Injuries to the head","manual by category",NA
"801","fracture of base of skull","fracture of skull","injury, poisoning and certain other consequences of external causes","Injuries to the head","manual by category",NA
"802","fracture of face bones","fracture of skull","injury, poisoning and certain other consequences of external causes","Injuries to the head","manual by category",NA
"803","other and unqualified skull fractures","fracture of skull","injury, poisoning and certain other consequences of external causes","Injuries to the head","manual by category",NA
